FL_DATE,ARR_DELAY,ROLL_7,ROLL_30,ANOMALY,TOTAL_FLIGHTS,TOTAL_CANCELLED,CANCEL_RATE,TOTAL_DIVERTED,DIVERT_RATE,AVG_DEP_DELAY,AVG_ARR_DELAY,DELAYED_FLIGHTS_15,DELAY_RATE_15,TOTAL_DELAY_MINUTES,CARRIER_DELAY_SUM,WEATHER_DELAY_SUM,NAS_DELAY_SUM,SECURITY_DELAY_SUM,LATE_AIRCRAFT_DELAY_SUM,CARRIER_DELAY_PCT,WEATHER_DELAY_PCT,NAS_DELAY_PCT,SECURITY_DELAY_PCT,LATE_AIRCRAFT_DELAY_PCT
2014-01-01,19.79542746499851,,,False,30144615,482006.0,0.015989787894123045,73677.0,0.0024441181285612705,9.743912210430391,4.939717464950979,5443423,0.1805769620875901,378877406.0,107799385.0,16413819.0,83015150.0,448961.0,138498441.0,0.3114007354114076,0.04741469821474153,0.2398063658738713,0.0012969163559795908,0.40008128414399996
2014-01-02,38.035535775419376,,,True,30144615,482006.0,0.015989787894123045,73677.0,0.0024441181285612705,9.743912210430391,4.939717464950979,5443423,0.1805769620875901,378877406.0,107799385.0,16413819.0,83015150.0,448961.0,138498441.0,0.3114007354114076,0.04741469821474153,0.2398063658738713,0.0012969163559795908,0.40008128414399996
2014-01-03,37.91642610716046,,,True,30144615,482006.0,0.015989787894123045,73677.0,0.0024441181285612705,9.743912210430391,4.939717464950979,5443423,0.1805769620875901,378877406.0,107799385.0,16413819.0,83015150.0,448961.0,138498441.0,0.3114007354114076,0.04741469821474153,0.2398063658738713,0.0012969163559795908,0.40008128414399996
2014-01-04,38.973327305605785,,,True,30144615,482006.0,0.015989787894123045,73677.0,0.0024441181285612705,9.743912210430391,4.939717464950979,5443423,0.1805769620875901,378877406.0,107799385.0,16413819.0,83015150.0,448961.0,138498441.0,0.3114007354114076,0.04741469821474153,0.2398063658738713,0.0012969163559795908,0.40008128414399996
2014-01-05,44.44282055145397,,,True,30144615,482006.0,0.015989787894123045,73677.0,0.0024441181285612705,9.743912210430391,4.939717464950979,5443423,0.1805769620875901,378877406.0,107799385.0,16413819.0,83015150.0,448961.0,138498441.0,0.3114007354114076,0.04741469821474153,0.2398063658738713,0.0012969163559795908,0.40008128414399996
2014-01-06,38.854280783372104,,,True,30144615,482006.0,0.015989787894123045,73677.0,0.0024441181285612705,9.743912210430391,4.939717464950979,5443423,0.1805769620875901,378877406.0,107799385.0,16413819.0,83015150.0,448961.0,138498441.0,0.3114007354114076,0.04741469821474153,0.2398063658738713,0.0012969163559795908,0.40008128414399996
2014-01-07,25.480036855036854,34.785407834721006,,True,30144615,482006.0,0.015989787894123045,73677.0,0.0024441181285612705,9.743912210430391,4.939717464950979,5443423,0.1805769620875901,378877406.0,107799385.0,16413819.0,83015150.0,448961.0,138498441.0,0.3114007354114076,0.04741469821474153,0.2398063658738713,0.0012969163559795908,0.40008128414399996
2014-01-08,17.88584040747029,34.51260968364555,,False,30144615,482006.0,0.015989787894123045,73677.0,0.0024441181285612705,9.743912210430391,4.939717464950979,5443423,0.1805769620875901,378877406.0,107799385.0,16413819.0,83015150.0,448961.0,138498441.0,0.3114007354114076,0.04741469821474153,0.2398063658738713,0.0012969163559795908,0.40008128414399996
2014-01-09,13.91138342470171,31.0663022049716,,False,30144615,482006.0,0.015989787894123045,73677.0,0.0024441181285612705,9.743912210430391,4.939717464950979,5443423,0.1805769620875901,378877406.0,107799385.0,16413819.0,83015150.0,448961.0,138498441.0,0.3114007354114076,0.04741469821474153,0.2398063658738713,0.0012969163559795908,0.40008128414399996
2014-01-10,16.625595161497877,28.024754927019796,,False,30144615,482006.0,0.015989787894123045,73677.0,0.0024441181285612705,9.743912210430391,4.939717464950979,5443423,0.1805769620875901,378877406.0,107799385.0,16413819.0,83015150.0,448961.0,138498441.0,0.3114007354114076,0.04741469821474153,0.2398063658738713,0.0012969163559795908,0.40008128414399996
2014-01-11,15.571319538670284,24.681610960314725,,False,30144615,482006.0,0.015989787894123045,73677.0,0.0024441181285612705,9.743912210430391,4.939717464950979,5443423,0.1805769620875901,378877406.0,107799385.0,16413819.0,83015150.0,448961.0,138498441.0,0.3114007354114076,0.04741469821474153,0.2398063658738713,0.0012969163559795908,0.40008128414399996
2014-01-12,-0.017874329712635775,18.33008312014807,,False,30144615,482006.0,0.015989787894123045,73677.0,0.0024441181285612705,9.743912210430391,4.939717464950979,5443423,0.1805769620875901,378877406.0,107799385.0,16413819.0,83015150.0,448961.0,138498441.0,0.3114007354114076,0.04741469821474153,0.2398063658738713,0.0012969163559795908,0.40008128414399996
2014-01-13,-1.335540557748631,12.588680071416535,,False,30144615,482006.0,0.015989787894123045,73677.0,0.0024441181285612705,9.743912210430391,4.939717464950979,5443423,0.1805769620875901,378877406.0,107799385.0,16413819.0,83015150.0,448961.0,138498441.0,0.3114007354114076,0.04741469821474153,0.2398063658738713,0.0012969163559795908,0.40008128414399996
2014-01-14,-0.6195696581778565,8.860164855243005,,False,30144615,482006.0,0.015989787894123045,73677.0,0.0024441181285612705,9.743912210430391,4.939717464950979,5443423,0.1805769620875901,378877406.0,107799385.0,16413819.0,83015150.0,448961.0,138498441.0,0.3114007354114076,0.04741469821474153,0.2398063658738713,0.0012969163559795908,0.40008128414399996
